Hole Depth,Weight on Bit,Rate Of Penetration
6697,10.6,48.62
6698,9,46.26
6699,10.4,53.55
6700,13.2,73.7
6701,13.3,74.48
6702,13.9,74.42
6703,20.6,74.64
6704,19,74.7
6705,15.8,74.64
6706,15.2,74.44
6707,14.6,73.95
6708,14.8,74.93
6709,14.8,75.48
6710,15.3,75.5
6711,15.6,75.49
6712,15.5,75.51
6713,15.2,75.49
6714,18.5,75.49
6715,19.4,75.55
6716,20.2,75.51
6717,16.4,75.49
6718,16.9,75.51
6719,17.2,75.49
6720,16.9,75.49
6721,16.7,75.49
6722,17.9,75.48
6723,12.4,35.36
6724,15.7,75.46
6725,16.7,75.5
6726,16.3,75.44
6727,16.1,75.51
6728,16.2,74.91
6729,11.3,49.75
6730,11.4,49.73
6731,11.3,49.87
6732,12.1,49.67
6733,12.5,49.85
6734,12.5,49.73
6735,12,49.76
6736,10.1,29.66
6737,8.8,29.94
6738,6.7,29.9
6739,7.5,29.93
6740,7.7,29.87
6741,9.3,29.89
6742,9.6,29.81
6743,8.3,29.68
6744,7.3,29.78
6745,7,29.8
6746,11,29.78
6747,11,29.78
6748,9.8,29.43
6749,7.4,28.76
6750,8,28.96
6751,8.9,28.91
6752,8.1,28.85
6753,8.1,28.87
6754,8,28.9
6755,7.5,28.87
6756,6.1,14.74
6757,7.3,14.11
6758,8.7,34.28
6759,9.1,34.66
6760,9.9,39.12
6761,11.9,39.24
6762,10.3,39.34
6763,10.7,39.27
6764,10.4,39.23
6765,10.5,39.24
6766,10.7,39.28
6767,10.3,39.26
6768,11.3,39.29
6769,11.4,39.2
6770,14.1,49.13
