Attribute,Value
Hole Depth (km),10.982
Hole Depth (km),8.368
Hole Depth (km),10.995
Hole Depth (km),8.361
Hole Depth (km),10.994
Hole Depth (km),8.362
Hole Depth (km),10.996
Hole Depth (km),8.359
Hole Depth (km),10.998
Hole Depth (km),8.36
Hole Depth (km),10.997
Hole Depth (km),8.363
Hole Depth (km),10.99
Hole Depth (km),8.366
Hole Depth (km),10.989
Hole Depth (km),8.367
Hole Depth (km),10.991
Hole Depth (km),8.364
Hole Depth (km),10.993
Hole Depth (km),8.365
Hole Depth (km),10.992
Hole Depth (km),8.153
Hole Depth (km),11.202
Hole Depth (km),8.154
Hole Depth (km),11.201
Hole Depth (km),8.152
Hole Depth (km),11.204
Hole Depth (km),8.15
Hole Depth (km),11.203
Hole Depth (km),8.151
Hole Depth (km),11.2
Hole Depth (km),8.158
Hole Depth (km),11.197
Hole Depth (km),8.159
Hole Depth (km),11.196
Hole Depth (km),8.157
Hole Depth (km),11.199
Hole Depth (km),8.155
Hole Depth (km),11.198
Hole Depth (km),8.156
Hole Depth (km),11.205
Hole Depth (km),8.143
Hole Depth (km),11.212
Hole Depth (km),8.144
Hole Depth (km),11.211
Hole Depth (km),8.142
Hole Depth (km),11.214
Hole Depth (km),8.14
Hole Depth (km),11.213
Hole Depth (km),8.141
Hole Depth (km),11.21
Hole Depth (km),8.148
Hole Depth (km),11.207
Hole Depth (km),8.149
Hole Depth (km),11.206
Hole Depth (km),8.147
Hole Depth (km),11.209
Hole Depth (km),8.145
Hole Depth (km),11.208
Hole Depth (km),8.146
Hole Depth (km),11.182
Hole Depth (km),8.172
Hole Depth (km),11.181
Hole Depth (km),8.173
Hole Depth (km),11.183
Hole Depth (km),8.17
Hole Depth (km),11.185
Hole Depth (km),8.171
Hole Depth (km),11.184
Hole Depth (km),8.174
Hole Depth (km),11.177
Hole Depth (km),8.177
Hole Depth (km),11.176
Hole Depth (km),8.178
Hole Depth (km),11.178
Hole Depth (km),8.175
Hole Depth (km),11.18
Hole Depth (km),8.176
Hole Depth (km),11.179
Hole Depth (km),8.169
Hole Depth (km),11.192
Hole Depth (km),8.162
Hole Depth (km),11.191
Hole Depth (km),8.163
Hole Depth (km),11.193
Hole Depth (km),8.16
Hole Depth (km),11.195
Hole Depth (km),8.161
Hole Depth (km),11.194
Hole Depth (km),8.164
Hole Depth (km),11.187
Hole Depth (km),8.167
Hole Depth (km),11.186
Hole Depth (km),8.168
Hole Depth (km),11.188
Hole Depth (km),8.165
Hole Depth (km),11.19
Hole Depth (km),8.166
Hole Depth (km),11.189
Hole Depth (km),11.215
Hole Depth (km),11.241
Hole Depth (km),8.113
Hole Depth (km),11.24
Hole Depth (km),8.114
Hole Depth (km),11.242
Hole Depth (km),8.111
Hole Depth (km),11.244
Hole Depth (km),8.112
Hole Depth (km),11.243
Hole Depth (km),8.115
Hole Depth (km),11.236
Hole Depth (km),8.118
Hole Depth (km),11.235
Hole Depth (km),8.119
Hole Depth (km),11.237
Hole Depth (km),8.116
Hole Depth (km),11.239
Hole Depth (km),8.117
Hole Depth (km),11.238
Hole Depth (km),8.11
Hole Depth (km),11.251
Hole Depth (km),8.103
Hole Depth (km),11.25
Hole Depth (km),8.104
Hole Depth (km),11.252
Hole Depth (km),8.101
Hole Depth (km),11.254
Hole Depth (km),8.102
Hole Depth (km),11.253
Hole Depth (km),8.105
Hole Depth (km),11.246
Hole Depth (km),8.108
Hole Depth (km),11.245
Hole Depth (km),8.109
Hole Depth (km),11.247
Hole Depth (km),8.106
Hole Depth (km),11.249
Hole Depth (km),8.107
Hole Depth (km),11.248
Hole Depth (km),8.133
Hole Depth (km),11.222
Hole Depth (km),8.134
Hole Depth (km),11.221
Hole Depth (km),8.132
Hole Depth (km),11.224
Hole Depth (km),8.13
Hole Depth (km),11.223
Hole Depth (km),8.131
Hole Depth (km),11.22
